Havaintopaikka;ELY-keskus;Päivämäärä;LevätilanneNum;LevätilanneTxt;Seuranta;Ylläpito;Lisätiedot;Latitude_DD;Longitude_DD;Vuosi;DayOfYear;Ilma_Lämpötila_7d_C;Sadanta_7d_mm;Tuuli_7d_ms
Mäyhäjärvi (35.250.1.001)/Leponokka;Pirkanmaan elinkeino-, liikenne- ja ympäristökeskus;2021-07-14;3;;-;Tavallisen käyttäjän ylläpitämä;Koko järvi täysin vihreänä hiutaleista ja ruoholauttoja on kaikkialla;61.28394722222222;23.863094444444446;2021;195;22.428571428571427;4.8999999999999995;7.771428571428571
Vampulan - Alastaron alue (35.914)/Tammiaisten silta;Varsinais-Suomen elinkeino-, liikenne- ja ympäristökeskus;2021-07-14;3;;-;Tavallisen käyttäjän ylläpitämä;Koko joen pinta täynnä levää, lauttoja syntynyt;60.98931666666667;22.84116111111111;2021;195;22.071428571428573;12.799999999999999;8.542857142857143
Enäjärvi (22.005.1.001)/Enäranta;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-07-15;3;;-;Tavallisen käyttäjän ylläpitämä;;60.33755;24.341508333333334;2021;196;23.47142857142857;1.2000000000000002;8.742857142857144
Enäjärvi (22.005.1.001)/Enäjärvi (Ojakkalan uimaranta);Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-07-15;3;;-;Tavallisen käyttäjän ylläpitämä;;60.36421388888889;24.408969444444445;2021;196;23.4;0.9;8.885714285714286
Ala-Salmijärvi (04.619.1.002)/Ilmakuvat;Pohjois-Savon elinkeino-, liikenne- ja ympäristökeskus;2021-07-15;3;;-;Tavallisen käyttäjän ylläpitämä;;62.977811111111116;28.29473888888889;2021;196;24.142857142857142;0.0;7.728571428571429
Hiidenvesi (23.031.1.001)/Kirkkojärvi Vihti kk;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-07-24;3;;-;Tavallisen käyttäjän ylläpitämä;;60.41588888888889;24.31498611111111;2021;205;17.257142857142856;4.7;12.72857142857143
Hiidenvesi (23.031.1.001)/Rysätarha;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-07-24;3;;-;Tavallisen käyttäjän ylläpitämä;;60.37949444444445;24.273955555555556;2021;205;17.400000000000002;6.2;13.171428571428573
Hiidenvesi (23.031.1.001)/Kirkkojärvi Vihti kk;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-07-25;3;;-;Tavallisen käyttäjän ylläpitämä;;60.41517222222222;24.316633333333336;2021;206;17.114285714285717;4.2;11.657142857142858
Hiidenvesi (23.031.1.001)/Kirkkojärvi Vihti kk;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-07-25;3;;-;Tavallisen käyttäjän ylläpitämä;;60.41633888888889;24.313955555555555;2021;206;17.114285714285717;4.2;11.657142857142858
Tuusulanjärvi (21.082.1.001)/Tervanokan uimaranta;Uudenmaan elinkeino-, liikenne- ja ympäristökeskus;2021-07-26;3;;-;Tavallisen käyttäjän ylläpitämä;;60.46338055555556;25.081022222222224;2021;207;17.957142857142856;3.8;11.114285714285714
